"vx","vy","Points:0","Points:1","Points:2"
-1.3341767883e+02,9.1999871826e+02,-2.7726825000e+05,-9.3373675000e+05,0.0000000000e+00
-1.3317486572e+02,9.2058782959e+02,-2.7726109375e+05,-9.3378625000e+05,0.0000000000e+00
-1.3293014526e+02,9.2117419434e+02,-2.7725393750e+05,-9.3383568750e+05,0.0000000000e+00
-1.3268351746e+02,9.2175775146e+02,-2.7724681250e+05,-9.3388518750e+05,0.0000000000e+00
-1.3243498230e+02,9.2233850098e+02,-2.7723968750e+05,-9.3393468750e+05,0.0000000000e+00
-1.3218455505e+02,9.2291656494e+02,-2.7723259375e+05,-9.3398418750e+05,0.0000000000e+00
-1.3197148132e+02,9.2335498047e+02,-2.7722550000e+05,-9.3403368750e+05,0.0000000000e+00
-1.3177723694e+02,9.2372363281e+02,-2.7721843750e+05,-9.3408318750e+05,0.0000000000e+00
-1.3158384705e+02,9.2408618164e+02,-2.7721137500e+05,-9.3413268750e+05,0.0000000000e+00
-1.3139132690e+02,9.2444256592e+02,-2.7720434375e+05,-9.3418218750e+05,0.0000000000e+00
-1.3119967651e+02,9.2479284668e+02,-2.7719731250e+05,-9.3423168750e+05,0.0000000000e+00
-1.3100888062e+02,9.2513702393e+02,-2.7719028125e+05,-9.3428118750e+05,0.0000000000e+00
-1.3081892395e+02,9.2547515869e+02,-2.7718328125e+05,-9.3433068750e+05,0.0000000000e+00
-1.3062983704e+02,9.2580725098e+02,-2.7717631250e+05,-9.3438018750e+05,0.0000000000e+00
-1.3044158936e+02,9.2613330078e+02,-2.7716931250e+05,-9.3442975000e+05,0.0000000000e+00
-1.3025419617e+02,9.2645336914e+02,-2.7716234375e+05,-9.3447925000e+05,0.0000000000e+00
-1.3006388855e+02,9.2689654541e+02,-2.7715540625e+05,-9.3452875000e+05,0.0000000000e+00
-1.2987145996e+02,9.2743151855e+02,-2.7714846875e+05,-9.3457825000e+05,0.0000000000e+00
-1.2967956543e+02,9.2796612549e+02,-2.7714153125e+05,-9.3462775000e+05,0.0000000000e+00
-1.2948820496e+02,9.2850036621e+02,-2.7713462500e+05,-9.3467731250e+05,0.0000000000e+00
-1.2929737854e+02,9.2903430176e+02,-2.7712771875e+05,-9.3472681250e+05,0.0000000000e+00
-1.2910708618e+02,9.2956781006e+02,-2.7712084375e+05,-9.3477637500e+05,0.0000000000e+00
-1.2891732788e+02,9.3010095215e+02,-2.7711396875e+05,-9.3482587500e+05,0.0000000000e+00
-1.2872810364e+02,9.3063378906e+02,-2.7710709375e+05,-9.3487537500e+05,0.0000000000e+00
-1.2853939819e+02,9.3116619873e+02,-2.7710025000e+05,-9.3492493750e+05,0.0000000000e+00
-1.2835122681e+02,9.3169830322e+02,-2.7709343750e+05,-9.3497443750e+05,0.0000000000e+00
-1.2816201782e+02,9.3218609619e+02,-2.7708659375e+05,-9.3502400000e+05,0.0000000000e+00
-1.2796995544e+02,9.3262597656e+02,-2.7707981250e+05,-9.3507350000e+05,0.0000000000e+00
-1.2777615356e+02,9.3306457520e+02,-2.7707300000e+05,-9.3512306250e+05,0.0000000000e+00
-1.2758060455e+02,9.3350177002e+02,-2.7706625000e+05,-9.3517262500e+05,0.0000000000e+00
-1.2738331604e+02,9.3393762207e+02,-2.7705946875e+05,-9.3522212500e+05,0.0000000000e+00
-1.2718428802e+02,9.3437207031e+02,-2.7705271875e+05,-9.3527168750e+05,0.0000000000e+00
-1.2698353577e+02,9.3480523682e+02,-2.7704600000e+05,-9.3532125000e+05,0.0000000000e+00
-1.2678105927e+02,9.3523699951e+02,-2.7703925000e+05,-9.3537075000e+05,0.0000000000e+00
-1.2657686615e+02,9.3566741943e+02,-2.7703256250e+05,-9.3542031250e+05,0.0000000000e+00
-1.2637095642e+02,9.3609655762e+02,-2.7702584375e+05,-9.3546987500e+05,0.0000000000e+00
-1.2615022278e+02,9.3649224854e+02,-2.7701918750e+05,-9.3551943750e+05,0.0000000000e+00
-1.2590840912e+02,9.3683880615e+02,-2.7701250000e+05,-9.3556900000e+05,0.0000000000e+00
-1.2566625977e+02,9.3718670654e+02,-2.7700584375e+05,-9.3561856250e+05,0.0000000000e+00
-1.2542414856e+02,9.3752984619e+02,-2.7699921875e+05,-9.3566806250e+05,0.0000000000e+00
-1.2518392181e+02,9.3782720947e+02,-2.7699259375e+05,-9.3571762500e+05,0.0000000000e+00
-1.2494249725e+02,9.3812207031e+02,-2.7698600000e+05,-9.3576718750e+05,0.0000000000e+00
-1.2469988251e+02,9.3841436768e+02,-2.7697940625e+05,-9.3581675000e+05,0.0000000000e+00
-1.2445606995e+02,9.3870410156e+02,-2.7697281250e+05,-9.3586631250e+05,0.0000000000e+00
-1.2421107483e+02,9.3899139404e+02,-2.7696625000e+05,-9.3591587500e+05,0.0000000000e+00
-1.2396490479e+02,9.3927612305e+02,-2.7695968750e+05,-9.3596550000e+05,0.0000000000e+00
-1.2371368408e+02,9.3952960205e+02,-2.7695315625e+05,-9.3601506250e+05,0.0000000000e+00
-1.2345336914e+02,9.3971655273e+02,-2.7694665625e+05,-9.3606462500e+05,0.0000000000e+00
-1.2319335938e+02,9.3990435791e+02,-2.7694012500e+05,-9.3611418750e+05,0.0000000000e+00
-1.2293363953e+02,9.4009301758e+02,-2.7693365625e+05,-9.3616375000e+05,0.0000000000e+00
-1.2267422485e+02,9.4028247070e+02,-2.7692718750e+05,-9.3621337500e+05,0.0000000000e+00
-1.2241510010e+02,9.4047271729e+02,-2.7692071875e+05,-9.3626293750e+05,0.0000000000e+00
-1.2215628052e+02,9.4066375732e+02,-2.7691428125e+05,-9.3631250000e+05,0.0000000000e+00
-1.2189774323e+02,9.4085565186e+02,-2.7690784375e+05,-9.3636212500e+05,0.0000000000e+00
-1.2163950348e+02,9.4104827881e+02,-2.7690140625e+05,-9.3641168750e+05,0.0000000000e+00
